,lon,lat,value,radius
110439,121.551999,24.996239000000003,2,9
110464,121.506957,25.031954000000002,2,9
110520,121.52131599999998,25.118976,2,9
110530,121.501745,25.025423,2,9
110564,121.52802700000001,25.068371,2,9
110586,121.599616,25.079038,2,9
110590,121.55656499999999,25.03164,2,9
110606,121.55875900000001,25.00574,2,9
110614,121.488643,25.023502,2,9
110622,121.58510600000001,25.04375,2,9
110637,121.539801,24.999617999999998,2,9
110640,121.54226000000001,24.989178,2,9
110649,121.511871,25.056922,3,27
110657,121.55860200000001,25.007373,2,9
110659,121.53756299999999,25.100828,2,9
110684,121.609952,25.075798000000002,2,9
110739,121.54134499999999,24.993115,3,27
110748,121.578928,25.058273,2,9
110768,121.517822,25.112655,2,9
110778,121.56286000000001,25.023827999999998,2,9
110840,121.51414399999999,25.061753,3,27
110860,121.54726000000001,25.044645000000003,2,9
110887,121.615334,25.045125,2,9
110899,121.510145,25.024623000000002,3,27
110917,121.496077,25.102332999999998,2,9
110921,121.508196,25.080292,3,27
110932,121.518844,25.110943,2,9
110936,121.522553,25.032295,3,27
110961,121.579178,25.060244,1,3
110999,121.54377,25.037687,2,9
111007,121.56831899999999,25.036877,2,9
111011,121.51481000000001,25.027542999999998,2,9
111019,121.58006100000001,25.048867,2,9
111021,121.515498,25.086601,2,9
111032,121.55457,25.022374,2,9
111053,121.540305,24.991615,2,9
111057,121.519549,25.062991,2,9
111067,121.56196899999999,25.035931,2,9
111106,121.555474,25.023406,2,9
111108,121.568696,24.988969,2,9
111155,121.50411799999999,25.100403,2,9
111198,121.532198,25.096517000000002,1,3
111199,121.56954499999999,24.986744,2,9
111200,121.53311299999999,25.057927,1,3
111206,121.54783300000001,25.040481,2,9
111219,121.509819,25.061092000000002,2,9
111248,121.510686,25.050262,2,9
111257,121.573771,24.992875,2,9
111264,121.536414,25.099242,2,9
111282,121.526556,25.022451,2,9
111301,121.532423,25.008657999999997,1,3
111302,121.532371,25.008639000000002,1,3
111331,121.568424,25.040993,1,3
111344,121.570559,24.987962,2,9
111346,121.55680100000001,25.038861999999998,2,9
111354,121.527496,25.052027,1,3
111376,121.57571899999999,25.079933,2,9
111396,121.516778,25.085205,2,9
111432,121.549035,25.030445999999998,2,9
111484,121.50113200000001,25.125491,2,9
111492,121.560427,25.034202,2,9
111502,121.593127,25.085109,1,3
111515,121.529967,25.068175,2,9
111524,121.55378999999999,24.988042,3,27
111531,121.49961499999999,25.037835,2,9
111645,121.56920900000001,24.983136,3,27
111670,121.513232,25.045175,2,9
111671,121.527413,25.055067,2,9
111683,121.51471000000001,25.062877,2,9
