,lon,lat,hurt,radius,color,group,type
7576,121.50472099999999,25.034129,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7577,121.56378400000001,25.037523,1,1,#DDD23B,其他路段,租賃車-小客車;普通重型-機車
7578,121.55011699999999,25.061429,1,1,#DDD23B,其他路段,普通重型-機車;租賃車-小客車
7579,121.469603,25.123387,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7580,121.566401,25.043552,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7581,121.519474,25.062602,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7582,121.548644,25.0804,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7583,121.52283100000001,25.052609,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7584,121.56414699999999,24.983118,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7585,121.616665,25.076426,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7586,121.52358799999999,25.045123999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7587,121.59850700000001,25.052638,2,3,#DDD23B,其他路段,普通重型-機車;自用-小客車;普通重型-機車
7588,121.506304,25.037675,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7589,121.54378999999999,25.032491,1,1,#DDD23B,其他路段,普通重型-機車;計程車-小客車
7590,121.51863200000001,25.069284,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7591,121.517206,25.09185,1,1,#DDD23B,其他路段,租賃車-小客車;普通重型-機車
7592,121.55198700000001,25.024094,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7593,121.52546799999999,25.038491,3,5,#DDD23B,其他路段,普通重型-機車;行人-人;普通重型-機車
7595,121.52488899999999,25.023108999999998,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7596,121.569725,25.002175,1,1,#DDD23B,其他路段,普通重型-機車
7597,121.563955,25.039552,1,1,#DDD23B,其他路段,普通重型-機車
7598,121.550453,25.025879,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7599,121.57701399999999,25.043785999999997,1,1,#DDD23B,其他路段,普通重型-機車;行人-人
7600,121.50283200000001,25.118725,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7601,121.521648,25.057911999999998,1,1,#DDD23B,其他路段,普通重型-機車
7602,121.50027,25.038741,2,3,#DDD23B,其他路段,普通重型-機車;腳踏自行車-慢車
7603,121.61206100000001,25.067778,1,1,#DDD23B,其他路段,其他車-其他車;普通重型-機車
7604,121.532991,25.017126,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7606,121.52553799999998,25.086369,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7607,121.570149,25.034075,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7608,121.517376,25.034306,2,3,#DDD23B,羅斯福路1、2段,普通重型-機車;普通重型-機車;普通重型-機車
7609,121.51175,25.088265,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7610,121.549954,25.051354999999997,1,1,#DDD23B,南京東西路,計程車-小客車;普通重型-機車;計程車-小客車
7611,121.567994,24.982961,1,1,#DDD23B,其他路段,自用-小貨車;普通重型-機車
7612,121.50589699999999,25.048762,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7613,121.54931699999999,25.030189,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7614,121.61206100000001,25.067778,1,1,#DDD23B,其他路段,普通重型-機車;自用-小貨車
7615,121.557248,24.98139,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7616,121.548872,25.082975,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7617,121.590452,25.078885,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7618,121.50061299999999,25.032741,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7619,121.521872,25.043292,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7620,121.547058,24.99943,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7621,121.56170800000001,25.039510999999997,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7622,121.57826299999999,25.051272,2,3,#DDD23B,八德路3、4段,普通重型-機車;普通重型-機車
7623,121.58038400000001,25.055156,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7624,121.54478200000001,25.097113,1,1,#DDD23B,其他路段,其他車-其他車;普通重型-機車;自用-小客車
7625,121.582714,25.045632,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7626,121.53833200000001,25.057610999999998,1,1,#DDD23B,其他路段,普通重型-機車;其他人-人
7627,121.565569,25.081682,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7628,121.564231,25.055408,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7629,121.55338700000001,25.084575,2,3,#DDD23B,其他路段,普通重型-機車;普通輕型-機車
7630,121.578847,25.000995,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7631,121.56215700000001,25.085008,2,3,#DDD23B,內湖路1段,普通重型-機車;普通重型-機車
7632,121.569428,25.048983,1,1,#DDD23B,其他路段,普通重型-機車;普通輕型-機車;自用-小客車
7634,121.510994,25.046669,1,1,#DDD23B,其他路段,普通重型-機車;行人-人
7635,121.542868,25.046999,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7636,121.597227,25.082235999999998,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7637,121.50996699999999,25.045085999999998,1,1,#DDD23B,其他路段,租賃車-小客車;普通輕型-機車
7638,121.539098,25.041872,2,3,#DDD23B,其他路段,普通重型-機車;行人-人
7639,121.55833100000001,24.997730999999998,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7640,121.61025900000001,25.055989999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7641,121.51678400000002,25.04909,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7642,121.565025,25.08357,1,1,#DDD23B,其他路段,自用-小貨車;普通重型-機車
7643,121.592653,25.065331,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7644,121.51818200000001,25.116989999999998,1,1,#DDD23B,其他路段,營業用-小貨車;普通重型-機車
7646,121.57996000000001,25.050304,2,3,#DDD23B,八德路3、4段,普通重型-機車;普通重型-機車
7647,121.57040400000001,25.049113000000002,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7648,121.550876,24.987718,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7649,121.54485,24.999639000000002,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7650,121.590787,25.060952,1,1,#DDD23B,南京東西路,計程車-小客車;普通重型-機車
7651,121.504274,25.038052,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7652,121.51188300000001,25.036445999999998,1,1,#DDD23B,其他路段,普通重型-機車
7653,121.561025,24.988893,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7654,121.550731,25.002268,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7655,121.541279,25.063319,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7656,121.57489199999999,25.081147,2,3,#DDD23B,內湖路1段,其他人-人;普通重型-機車;普通重型-機車
7657,121.54371499999999,25.047767999999998,2,3,#DDD23B,其他路段,普通重型-機車;大型重型1-機車
7658,121.56283400000001,25.083829,1,1,#DDD23B,其他路段,普通重型-機車;民營客運-大客車;自用-小客車
7659,121.537042,25.023258,1,1,#DDD23B,其他路段,普通重型-機車;租賃車-小客車
7660,121.557879,25.053442999999998,2,3,#DDD23B,健康路,普通重型-機車;自用-小客車;普通重型-機車
7661,121.515469,25.115320999999998,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7663,121.592479,25.053844,1,1,#DDD23B,其他路段,普通重型-機車;自用-小客車
7664,121.57628400000002,25.05301,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7665,121.513949,25.049488,2,3,#DDD23B,其他路段,自用-小客車;普通重型-機車;普通重型-機車
7666,121.50558899999999,25.03415,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7667,121.54919299999999,25.15221,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7668,121.533418,25.171749,3,5,#DDD23B,其他路段,普通重型-機車;普通重型-機車;普通重型-機車
7669,121.510268,25.083356,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7670,121.59143200000001,25.059977,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7671,121.538982,25.041877,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7672,121.55806299999999,25.048338,5,18,#E98B2A,其他路段,自用-小客車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車
7673,121.52283100000001,25.052609,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車
7674,121.57974399999999,24.983791,2,3,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7675,121.549295,24.987485999999997,1,1,#DDD23B,其他路段,計程車-小客車;普通重型-機車;普通重型-機車
7677,121.581453,25.076785,1,1,#DDD23B,其他路段,普通輕型-機車;自用-小客車
7678,121.52033200000001,25.052505,1,1,#DDD23B,南京東西路,普通重型-機車;普通重型-機車
7679,121.51183300000001,25.102321,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7680,121.50686499999999,25.036456,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
7681,121.51183300000001,25.102321,1,1,#DDD23B,其他路段,普通重型-機車
7682,121.489639,25.027387,1,1,#DDD23B,其他路段,普通重型-機車;普通重型-機車
7683,121.55205500000001,24.991085,1,1,#DDD23B,其他路段,普通重型-機車
7684,121.522921,25.062953,2,3,#DDD23B,其他路段,普通重型-機車;普通輕型-機車
7685,121.514509,25.032447,1,1,#DDD23B,其他路段,自用-小客車;普通重型-機車
