Area,station,PM25,degree,moist
北部空品區,三重,30.1650961631507,10.31,42.4
北部空品區,菜寮,23.8327257737731,10.23,43.08
北部空品區,三重,32.2500496238713,11.71,46.1
北部空品區,菜寮,27.3007920650778,11.27,46.4
北部空品區,三重,24.6636685389102,13.1784811366977,57.9152564664621
北部空品區,菜寮,25.1980091982509,12.8734811366977,57.3852564664621
北部空品區,三重,19.0379014025065,14.9809941520468,60.5585371179039
北部空品區,菜寮,18.9399137939775,14.8309941520468,57.8498076052512
北部空品區,三重,18.26316152356,11.4987244666364,48.76
北部空品區,菜寮,17.5296916138781,10.5537244666364,49.66
北部空品區,土城,29.5552734456403,9.19,26.5
北部空品區,土城,24.0061957444252,10.83,45.91
北部空品區,土城,25.9719989196068,10.44,45.34
北部空品區,土城,24.409506743259,12.6384811366977,58.1902564664621
北部空品區,土城,22.4092209297784,14.4709941520468,57.81
北部空品區,土城,17.1649866972129,5.65,55.29
北部空品區,新店,22.9672087056761,8.78,28
北部空品區,新店,20.5570605122699,10.58,44.75
北部空品區,新店,22.5521739905333,11.27,45.74
北部空品區,新店,21.8762618294966,13.1084811366977,58.2552564664621
北部空品區,新店,20.6821624185758,14.5409941520468,62.0806069868996
北部空品區,新店,18.2082630424495,11.0987244666364,55.09
北部空品區,新莊,27.2385146083363,9.59,28.43
北部空品區,新莊,25.2235356423582,9.97,45
北部空品區,新莊,28.3983444413741,11.11,46.38
北部空品區,新莊,24.2732055772575,12.9234811366977,55.02
北部空品區,新莊,21.6728852331296,12.61,53.41
北部空品區,新莊,18.1258198901755,11.2737244666364,47.78
北部空品區,板橋,29.6543259209754,9.58,18.61
北部空品區,板橋,25.2149439601494,10.8,41.9
北部空品區,板橋,26.6973313249832,11.76,42.28
北部空品區,板橋,23.6844957058913,13.1884811366977,56.8352564664621
北部空品區,板橋,21.1515895872998,13.99,53.56
北部空品區,板橋,18.6576364869493,11.3387244666364,50.6
北部空品區,林口,24.1654777293162,6.9,17.86
北部空品區,林口,20.7068263658043,8.41,50.24
北部空品區,林口,25.4471901155839,9.3,48.9
北部空品區,林口,25.4755820379146,11.9184811366977,57.3252564664621
北部空品區,林口,21.3098879153958,13.6659941520468,59.8598076052512
北部空品區,林口,19.9639773281638,10.3087244666364,55.31
北部空品區,永和,28.2095502728932,9.04,24.22
北部空品區,永和,23.9308696354184,10.83,42.97
北部空品區,永和,25.90812122753,11.54,50.16
北部空品區,永和,22.9933388685805,13.0284811366977,60.4752564664621
北部空品區,永和,20.1840895897376,11.67,61.0248076052512
北部空品區,永和,16.965244255192,11.2737244666364,53.23
北部空品區,汐止,24.2445011061502,8.61,39.23
北部空品區,汐止,20.6300534559095,10.74,48.13
北部空品區,汐止,22.8983516483517,11.2,57.78
北部空品區,汐止,23.2240571511458,12.8884811366977,60.9302564664621
北部空品區,汐止,20.2405159439808,14.5059941520468,63.7548076052512
北部空品區,汐止,17.2425463482619,5.94,56.86
北部空品區,淡水,23.2898445259967,14.7052446619217,70.4122794117647
北部空品區,淡水,20.5169977241938,16.5453632760898,70.1694161875276
北部空品區,淡水,24.760989010989,17.0021781737194,71.9112149122807
北部空品區,淡水,22.7967129310649,16.8204895104895,67.4005129329242
北部空品區,淡水,18.1420598403369,17.1167437800087,69.7512139737991
北部空品區,淡水,18.9408469949436,16.3949695835283,73.5752723004695
北部空品區,萬里,18.7926015838117,10.42,44.49
北部空品區,萬里,16.6787458403482,11.34,49.33
北部空品區,萬里,18.0942508927382,11.51,50.95
北部空品區,萬里,21.9277531150484,13.5184811366977,61.0302564664621
北部空品區,萬里,19.9776137712588,15.0083718900044,35.61
北部空品區,萬里,16.0287479273633,11.7687244666364,59.77
竹苗空品區,湖口,30.1826721247637,8.23,44.98
竹苗空品區,湖口,26.0933870688054,9.9,49.84
竹苗空品區,湖口,27.8034063468883,10.4,48.58
竹苗空品區,湖口,24.0520551212066,12.4984811366977,59.1602564664621
竹苗空品區,湖口,18.6770729585661,14.8809941520468,58.6612857142857
竹苗空品區,湖口,20.2841773649097,10.7987244666364,59.3159920449228
竹苗空品區,竹東,27.2098810712619,8.6,43.94
竹苗空品區,竹東,22.293434898263,9.89,52.55
竹苗空品區,竹東,22.9216404641286,10.38,47.81
竹苗空品區,竹東,22.4480091982508,12.6084811366977,59.3202564664621
竹苗空品區,竹東,19.9684216666807,14.3909941520468,57.7562857142857
竹苗空品區,竹東,20.8611411657974,10.6087244666364,56.35
北部空品區,中壢,20.1653838874873,10.59,41.21
北部空品區,中壢,19.5845354879672,10.7787244666364,53.72
北部空品區,大園,21.3460744265563,14.6309941520468,58.5762857142857
北部空品區,大園,19.6695715011818,11.5337244666364,50.02
北部空品區,桃園,21.331693797307,14.0459941520468,61.98
北部空品區,桃園,18.9608303155656,10.5537244666364,53.67
,平鎮,21.3037031356875,11.57,58.0648076052512
,平鎮,18.5558641523778,10.7287244666364,53.97
北部空品區,觀音,20.5843981618108,12.56,58.6648076052512
北部空品區,觀音,20.9834763061479,11.4937244666364,54.99
北部空品區,龍潭,21.4085232880134,13.8259941520468,43.5055892700088
北部空品區,龍潭,20.0325761947567,10.1937244666364,54.82
其他,馬公,24.807365594475,11.95,54.87
其他,馬公,21.9091598897717,11.38,52.44
其他,馬公,23.6309908024841,13.14,53.37
其他,馬公,20.6576167499025,14.4134811366977,62.7502564664621
其他,馬公,20.0522511237089,15.4959941520468,57.8848076052512
其他,馬公,18.0063121696407,12.6787244666364,60.6709920449228
中部空品區,忠明,35.655051161971,9.52,48.03
中部空品區,忠明,29.2586384587896,10.54,49.25
中部空品區,忠明,30.1333381379757,11.84,38.62
中部空品區,忠明,26.2987155220654,13.4034811366977,57.4552564664621
中部空品區,忠明,23.3409606863288,15.2709941520468,49.2
中部空品區,忠明,22.2325956604869,11.5637244666364,55.0309920449228
中部空品區,大里,35.1551475590562,9.12,48.84
中部空品區,大里,34.0542015776794,10.68,49.49
中部空品區,大里,33.2184604695148,11.82,49.02
中部空品區,大里,26.9951210139395,13.89,59.4202564664621
中部空品區,大里,24.6945355136095,15.7783718900044,51.74
中部空品區,大里,22.0298382314406,13.2037244666364,59.3
中部空品區,沙鹿,34.6174546061241,9.09,48.95
中部空品區,沙鹿,30.0421543483939,10.98,51.47
中部空品區,沙鹿,35.3956043956044,10.93,44.67
中部空品區,沙鹿,26.7916089487137,12.8984811366977,54.8002564664621
中部空品區,沙鹿,20.6844749717398,14.95,48.42
中部空品區,沙鹿,21.438290480471,10.8937244666364,54.4509920449228
中部空品區,西屯,34.507315020213,10.31,46.81
中部空品區,西屯,30.366245950761,11.6,52.78
中部空品區,西屯,31.398004858812,12.2,41.21
中部空品區,西屯,25.6134324932293,13.4284811366977,59.3902564664621
中部空品區,西屯,23.0270191760344,15.2409941520468,57.9598076052512
中部空品區,西屯,23.3136016993412,11.5637244666364,55.4109920449228
中部空品區,豐原,31.1068161439255,7.98,48.24
中部空品區,豐原,27.564844080197,9.6,50.01
中部空品區,豐原,24.5164207814959,10.12,38.72
中部空品區,豐原,23.8971245906756,12.3134811366977,54.3802564664621
中部空品區,豐原,21.7205765978381,11.92,56.4298076052512
中部空品區,豐原,22.2427950508869,10.4137244666364,53.6709920449228
北部空品區,中山,34.2650750478903,9.19,22.36
北部空品區,中山,30.8857277731974,11.11,44.45
北部空品區,中山,31.2100351020491,11.77,26.04
北部空品區,中山,22.5936135938554,13.2784811366977,59.1802564664621
北部空品區,中山,20.3917730164045,15.0059941520468,60.0598076052512
北部空品區,中山,18.4120091131137,11.5387244666364,54.19
北部空品區,陽明,13.642560841277,1.37,30.01
北部空品區,陽明,11.7209715964535,2.91,42.75
北部空品區,陽明,12.4090158843843,3.59,39.44
北部空品區,陽明,19.086035916999,7.55,59.3202564664621
北部空品區,陽明,16.9815140334214,10.8609941520468,66.3648076052512
北部空品區,陽明,13.4029639089526,6.36,59.7909920449228
,士林,24.3990770403113,9.09,23.07
,士林,21.6780240385367,10.47,44.19
,士林,25.0618292671286,11.38,51.23
,士林,22.3889432641849,13.0334811366977,58.8052564664621
,士林,19.7087758434355,14.8259941520468,61.8498076052512
,士林,17.3567691629784,11.1987244666364,54.56
北部空品區,大同,33.4253174525233,14.7052446619217,70.4122794117647
北部空品區,大同,29.9540991306231,16.5453632760898,70.1694161875276
北部空品區,大同,33.4145346294994,17.0021781737194,71.9112149122807
北部空品區,大同,20.8559762312179,16.8204895104895,67.4005129329242
北部空品區,大同,19.6410882055964,17.1167437800087,69.7512139737991
北部空品區,大同,18.0942988838323,16.3949695835283,73.5752723004695
北部空品區,古亭,28.2987376345292,9,27.12
北部空品區,古亭,25.0646317234749,10.56,43.5
北部空品區,古亭,26.2922528755826,11.07,45.56
北部空品區,古亭,22.2574082768684,12.8634811366977,58.7252564664621
北部空品區,古亭,19.4929223849089,14.7209941520468,60.9198076052513
北部空品區,古亭,17.7365173678159,10.81,51.97
北部空品區,松山,27.7960498702686,8.88,24.57
北部空品區,松山,24.5215229523747,10.13,44.07
北部空品區,松山,26.2829712628433,10.95,49.56
北部空品區,松山,22.5736589499257,12.9534811366977,57.7352564664621
北部空品區,松山,19.8511486275895,14.5409941520468,60.7698076052512
北部空品區,松山,17.4275993465229,11.2387244666364,54.52
北部空品區,萬華,28.0141654436512,9.04,20.65
北部空品區,萬華,24.8926991979686,11.01,43.89
北部空品區,萬華,25.8920666648338,11.54,45.72
北部空品區,萬華,23.1328989703222,13.0934811366977,57.7252564664621
北部空品區,萬華,20.3897342659623,14.8559941520468,58.6398076052512
北部空品區,萬華,18.4892111536183,11.6337244666364,51.69
雲嘉南空品區,臺南,36.4958088799565,11.73,48.9
雲嘉南空品區,臺南,33.9760968830653,11.73,60.42
雲嘉南空品區,臺南,39.1155295396955,13.08,42.88
雲嘉南空品區,臺南,26.3575806456595,14.3884811366977,56.6852564664621
雲嘉南空品區,臺南,22.7209561677488,15.8509941520468,56.4048076052512
雲嘉南空品區,臺南,25.4046697999118,11.7287244666364,47.5119323342416
雲嘉南空品區,善化,36.2910354961006,12.26,64.05
雲嘉南空品區,善化,33.5623773979587,11.61,58.26
雲嘉南空品區,善化,33.3634375975466,12.51,53.01
雲嘉南空品區,善化,27.3331256453119,13.7234811366977,62.4277738825592
雲嘉南空品區,善化,24.8672948278974,16.4459941520468,63.5348076052512
雲嘉南空品區,善化,24.5737480373255,13.0987244666364,66.39
雲嘉南空品區,安南,36.5398315814184,10.41,33.99
雲嘉南空品區,安南,30.2560912183427,11.8,56.91
雲嘉南空品區,安南,34.5596388800411,12.93,46.94
雲嘉南空品區,安南,27.1703580114846,14.2134811366977,60.4452564664621
雲嘉南空品區,安南,23.0012422642098,15.8159941520468,59.4548076052512
雲嘉南空品區,安南,25.1627849757717,12.1887244666364,62.3859920449228
雲嘉南空品區,新營,36.685529434561,11.37,52.51
雲嘉南空品區,新營,33.1943339340395,12.06,58.39
雲嘉南空品區,新營,36.5286708597692,13.01,49.03
雲嘉南空品區,新營,27.3966963001447,14.1684811366977,59.7002564664621
雲嘉南空品區,新營,23.5648085131478,15.6759941520468,58.5748076052512
雲嘉南空品區,新營,24.5907381242822,11.7887244666364,62.77
花東空品區,臺東,12.8405683909079,13.34,24.3
花東空品區,臺東,11.9276011041232,15.47,55.6
花東空品區,臺東,13.2176735113907,15.01,57.14
花東空品區,臺東,16.5177582872623,15.9260929925077,58.3602564664621
花東空品區,臺東,15.7653345281564,16.2909941520468,62.4056069868996
花東空品區,臺東,12.5243368412523,14.0887244666364,58.92
花東空品區,關山,16.0732235242193,10.35,58.21
花東空品區,關山,12.7540974817554,13.01,62.5
花東空品區,關山,11.9503355497142,12.08,62.87
花東空品區,關山,17.6642660224501,14.2334811366977,62.7152564664621
花東空品區,關山,15.8222723086857,14.7009941520468,64.45
花東空品區,關山,12.537663823512,13.0437244666364,65.6494243421053
花東空品區,花蓮,20.9465656935009,13.09,52.12
花東空品區,花蓮,17.8626801704182,14.54,57.81
花東空品區,花蓮,18.4991471942691,15.02,51.17
花東空品區,花蓮,18.5264033415061,15.0010929925077,59.4402564664621
