Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,Team
DanielHamilton,Omari Spellman,1,4.45,21,0.3,0.45,1.1,0.346,ATL
OmariSpellman,Daniel Hamilton,1,4.45,23,0.3,0.45,1.1,0.346,ATL
JaylenAdams,Omari Spellman,3,4.55,21,0.3,0.5,1.45,0.341,ATL
KentBazemore,John Collins,14,15.55,21,0.6,0.85,2.15,0.334,ATL
TylerDorsey,Dewayne Dedmon,4,7.05,29,0.55,0.7,1,0.319,ATL
TylerDorsey,Kevin Huerter,1,6.5,20,0.15,0.6,1.75,0.3205,ATL
JeremyLin,Vince Carter,3,9.05,42,0.25,0.65,2.3,0.361,ATL
KevinHuerter,Miles Plumlee,2,7.05,30,0.25,0.6,1.9,,ATL
JeremyLin,John Collins,4,15.1,21,0.35,0.55,2.75,0.3405,ATL
AlexPoythress,Justin Anderson,1,4.4,25,0.4,0.35,0.65,0.3515,ATL
JustinAnderson,Alex Poythress,1,4.4,25,0.4,0.35,0.65,0.3515,ATL
JustinAnderson,Jeremy Lin,8,7.2,30,0.2,0.6,2,0.3225,ATL
TylerDorsey,Trae Young,2,11.2,20,0.1,0.6,4.35,0.29,ATL
TraeYoung,Justin Anderson,3,11.4,25,0.25,0.7,4.3,0.318,ATL
JohnCollins,Vince Carter,5,13.45,42,0.5,0.5,1.55,0.3685,ATL
TraeYoung,Omari Spellman,4,12.5,21,0.35,0.75,4.55,0.334,ATL
AlexPoythress,Vince Carter,2,6.25,42,0.45,0.4,0.95,0.39,ATL
JeremyLin,Omari Spellman,4,8.3,21,0.3,0.65,2.25,0.3385,ATL
OmariSpellman,Justin Anderson,2,4.8,25,0.4,0.55,0.75,0.328,ATL
OmariSpellman,Jaylen Adams,1,4.55,22,0.3,0.5,1.45,0.341,ATL
JustinAnderson,Vince Carter,2,5.55,42,0.35,0.55,0.8,0.3505,ATL
AlexLen,Justin Anderson,3,7.4,25,0.6,0.45,0.8,0.3375,ATL
DeyontaDavis,DeAndre' Bembry,2,6.2,24,0.55,0.8,1.55,0.1445,ATL
KentBazemore,Deyonta Davis,1,7.8,22,0.6,0.8,1.45,0.16,ATL
DeAndre'Bembry,Justin Anderson,2,6.05,25,0.4,0.9,1.5,0.3005,ATL
JaylenAdams,John Collins,1,11.35,21,0.35,0.4,1.95,0.343,ATL
AlexLen,Dewayne Dedmon,1,10.95,29,1,0.75,1.25,0.3725,ATL
B.J.Johnson,Alex Poythress,1,4.3,25,0.25,0.25,0.4,0.4455,ATL
B.J.Johnson,DeAndre' Bembry,3,5.95,24,0.25,0.8,1.25,0.3945,ATL
