Team,Player,Assister,Make,AvgPoints,Age,AvgBLK,AvgSTL,AvgAST,Avg3points,alt
MIL,Giannis Antetokounmpo,Ersan İlyasova,5,17.25,31,0.9,0.9,3.35,0.3095,GiannisAntetokounmpo
MIL,Brook Lopez,Ersan İlyasova,3,9.65,31,1.25,0.55,1,0.364,BrookLopez
MIL,Giannis Antetokounmpo,D.J. Wilson,2,16.75,22,0.95,0.85,3.5,0.309,GiannisAntetokounmpo
MIL,Giannis Antetokounmpo,Nikola Mirotić,2,19.65,27,1.05,1,3.65,0.306,GiannisAntetokounmpo
MIL,Pat Connaughton,Pau Gasol,1,4.1,38,0.35,0.25,1.35,0.3315,PatConnaughton
MIL,Nikola Mirotić,Eric Bledsoe,13,13.75,29,0.5,1.1,3.45,0.3425,NikolaMirotić
MIL,Pau Gasol,Malcolm Brogdon,1,8.45,26,0.25,0.35,1.95,0.3795,PauGasol
MIL,Nikola Mirotić,Khris Middleton,8,14.95,27,0.35,0.85,2.85,0.367,NikolaMirotić
MIL,Pat Connaughton,Nikola Mirotić,3,9.25,27,0.5,0.6,1.7,0.343,PatConnaughton
MIL,Nikola Mirotić,Brook Lopez,3,12.05,30,1.4,0.65,1.3,0.3605,NikolaMirotić
MIL,Nikola Mirotić,Tony Snell,4,8.8,27,0.4,0.55,1.15,0.3765,NikolaMirotić
MIL,Tony Snell,Ersan İlyasova,5,6.4,31,0.25,0.45,0.85,0.38,TonySnell
MIL,Nikola Mirotić,Giannis Antetokounmpo,6,19.65,24,1.05,1,3.65,0.306,NikolaMirotić
MIL,Christian Wood,Pat Connaughton,3,4.85,26,0.2,0.25,1.1,0.465,ChristianWood
MIL,Tony Snell,Pau Gasol,1,3.65,38,0.25,0.2,0.8,0.365,TonySnell
MIL,Brook Lopez,Nikola Mirotić,3,12.05,27,1.4,0.65,1.3,0.3605,BrookLopez
MIL,Brook Lopez,Isaiah Canaan,1,7,27,1.25,0.3,1,0.3825,BrookLopez
MIL,Pat Connaughton,George Hill,10,6.85,32,0.25,0.7,2.05,0.305,PatConnaughton
MIL,Sterling Brown,Tim Frazier,4,6.35,28,0.1,0.4,2.45,0.389,SterlingBrown
MIL,Pat Connaughton,Brook Lopez,5,9.7,30,1.3,0.55,1.6,0.3475,PatConnaughton
