,lon,lat,value,radius
226017,121.52838999999999,25.038329,2,5
226020,121.532679,25.068170000000002,2,5
226035,121.595933,25.054454,3,8
226043,121.564838,25.03199,3,8
226055,121.50112800000001,25.124137,2,5
226056,121.590951,25.068487,2,5
226063,121.563974,25.054223999999998,3,8
226066,121.51670700000001,25.106119,2,5
226070,121.53394899999999,25.044745000000002,2,5
226073,121.570173,25.041127,3,8
226082,121.572147,25.075094,2,5
226086,121.598225,25.058248000000003,2,5
226147,121.579903,25.049554,2,5
226148,121.50475,25.12463,2,5
226151,121.51021399999999,25.024613000000002,2,5
226157,121.533304,25.022631,2,5
226162,121.618298,25.070728,4,10
226176,121.554043,24.999895000000002,3,8
226190,121.61660900000001,25.042904,2,5
226240,121.54546,25.053604999999997,2,5
226262,121.559381,25.032896,2,5
226267,121.514725,25.112848,3,8
226272,121.52122,25.048092999999998,2,5
226273,121.56671000000001,25.046397,2,5
226283,121.46508600000001,25.124596,2,5
226286,121.53756299999999,25.100828,3,8
226293,121.557102,25.027745,2,5
226294,121.531768,25.061962,2,5
226297,121.54093200000001,24.989710000000002,2,5
226299,121.54870700000001,25.050107,3,8
226333,121.497179,25.135922,2,5
226336,121.520149,25.080132,2,5
226362,121.58608000000001,25.069005999999998,2,5
226364,121.50625500000001,25.11675,2,5
226371,121.51128700000001,25.06308,2,5
226403,121.503052,25.133057,2,5
226429,121.540667,25.044692,1,2
226430,121.528144,25.050425,2,5
226438,121.525951,25.026712,2,5
226534,121.56538300000001,24.98252,5,15
226561,121.566325,25.041116,2,5
226573,121.54248100000001,25.062264000000003,1,2
226594,121.53341,25.067721,2,5
226595,121.57103300000001,25.08139,2,5
226642,121.54904099999999,25.058547,2,5
226689,121.558586,25.007329000000002,2,5
226694,121.536548,25.051858,2,5
226699,121.60616399999999,25.058014,2,5
226744,121.54417099999999,25.064979,4,10
226783,121.54038200000001,24.996361,2,5
226795,121.514963,25.045985,2,5
226833,121.55793700000001,25.026832000000002,2,5
226873,121.52927,25.05486,2,5
226877,121.512596,25.036763,2,5
226880,121.508356,25.056993,2,5
226892,121.517498,25.04843,2,5
226898,121.53585700000001,25.111804,2,5
226925,121.504728,25.033812,2,5
226926,121.51800700000001,25.026753,2,5
226950,121.51241,25.101529,2,5
227002,121.51838000000001,25.062835,2,5
227021,121.510056,25.047005,1,2
227022,121.589344,25.059375,3,8
227023,121.52764599999999,25.06697,2,5
227043,121.53021499999998,25.156326,2,5
227060,121.50466200000001,25.037847,2,5
227072,121.54957399999999,25.084098,2,5
227086,121.55776200000001,24.988715,2,5
227088,121.509818,25.086698000000002,3,8
227100,121.541974,24.992937,3,8
227162,121.495457,25.013809,1,2
227166,121.46983200000001,25.122889999999998,2,5
