road,hour,avgSpd
光復南路,12,49.0470324
光復南路,11,48.8690425714286
光復南路,10,48.5805347714286
光復南路,9,44.8687526571429
光復南路,8,49.3236472
光復南路,7,52.6339504857143
光復南路,6,53.1167515714286
光復南路,5,56.1936798571429
光復南路,4,55.4455039142857
光復南路,3,54.6395563142857
光復南路,2,53.2398517714286
光復南路,1,52.535013
光復南路,0,53.3909811428571
光復南路,23,51.3795304857143
光復南路,22,50.1011728571429
光復南路,21,48.627997
光復南路,20,47.4778112571429
光復南路,19,45.4304059428571
光復南路,18,44.0289285142857
光復南路,17,44.1452288
光復南路,16,46.3690268285714
光復南路,15,47.2432669428572
光復南路,14,46.2991032857143
光復南路,13,47.3180594571429
八德路,12,31.5302392
八德路,11,31.3963482571429
八德路,10,32.7147892571429
八德路,9,33.3730586571429
八德路,8,35.0696322444445
八德路,7,36.5588616285714
八德路,6,39.8380557047619
八德路,5,36.8262501047619
八德路,4,34.2698242380952
八德路,3,34.1058287142857
八德路,2,33.9016647904762
八德路,1,36.6504688190476
八德路,0,34.3546905714286
八德路,23,33.6432221238095
八德路,22,33.9849191619048
八德路,21,32.2678154761905
八德路,20,32.2340414095238
八德路,19,31.6104497047619
八德路,18,29.6851833904762
八德路,17,30.1028086571429
八德路,16,31.1958558380952
八德路,15,29.8083126285714
八德路,14,30.8150985333333
八德路,13,30.8458226
南京東路,12,55.8633404285714
南京東路,11,55.2568985714286
南京東路,10,59.3088772857143
南京東路,9,57.9286128571429
南京東路,8,59.625971
南京東路,7,56.0744641428572
南京東路,6,56.6095238571429
南京東路,5,55.8362242857143
南京東路,4,59.5238097142857
南京東路,3,60.7579367142857
南京東路,2,58.3433571428571
南京東路,1,56.4935014285714
南京東路,0,59.0355441428571
南京東路,23,55.6397147142857
南京東路,22,55.5441367142857
南京東路,21,53.8060768571429
南京東路,20,54.9042908571429
南京東路,19,48.645871
南京東路,18,49.626431
南京東路,17,54.155686
南京東路,16,54.9782541428571
南京東路,15,54.3321864285715
南京東路,14,55.0011854285714
南京東路,13,56.079389
南京西路,12,32.5032413333333
南京西路,11,32.2485052857143
南京西路,10,32.8934532380952
南京西路,9,33.7756357142857
南京西路,8,33.6228555
南京西路,7,35.4050458571429
南京西路,6,37.4886067142857
南京西路,5,37.84329
南京西路,4,38.4419916190476
南京西路,3,36.6352952380952
南京西路,2,38.2457394285714
南京西路,1,36.1252106190476
南京西路,0,40.6647101904762
南京西路,23,38.8730626666667
南京西路,22,34.8514367619048
南京西路,21,34.4693694285714
南京西路,20,32.7654987142857
南京西路,19,33.834069
南京西路,18,31.9972052857143
南京西路,17,33.8859740476191
南京西路,16,32.9479528095238
南京西路,15,31.7258511904762
南京西路,14,32.2783785714286
南京西路,13,33.4051277619048
和平東路,12,39.2433648571429
和平東路,11,40.2317839591837
和平東路,10,40.6405877959184
和平東路,9,38.5881422040816
和平東路,8,40.0364376904762
和平東路,7,44.8403744489796
和平東路,6,42.3115988163265
和平東路,5,43.3506077755102
和平東路,4,47.245976
和平東路,3,47.1428386122449
和平東路,2,47.2770166938776
和平東路,1,47.552878755102
和平東路,0,45.8949996122449
和平東路,23,43.5576309795919
和平東路,22,43.5778853469388
和平東路,21,40.1975709183673
和平東路,20,39.1802557755102
和平東路,19,36.8137952244898
和平東路,18,36.1618678367347
和平東路,17,36.4749035102041
和平東路,16,38.8283231428571
和平東路,15,37.9133729795918
