road,hour,avgVol
建國北路,4,12.5571428571429
建國北路,3,13.3
建國北路,2,15.3214285714286
建國北路,1,16.6785714285714
建國北路,0,18.4642857142857
建國北路,23,23.6214285714286
建國北路,22,39.4857142857143
建國北路,21,49.7428571428571
建國北路,20,49.6214285714286
建國北路,19,58.0071428571429
建國北路,18,67.9357142857143
建國北路,17,66.65
建國北路,16,58.3285714285714
建國北路,15,56.2214285714286
建國北路,14,55.6928571428572
建國北路,13,54.9714285714286
忠孝東路,12,78.2857142857143
忠孝東路,11,76.2301587301587
忠孝東路,10,74.9980158730159
忠孝東路,9,73.9345238095238
忠孝東路,8,84.556712962963
忠孝東路,7,52.7599206349206
忠孝東路,6,26.3095238095238
忠孝東路,5,15.3293650793651
忠孝東路,4,12.3690476190476
忠孝東路,3,13.3095238095238
忠孝東路,2,16.5634920634921
忠孝東路,1,20.8571428571429
忠孝東路,0,29.1825396825397
忠孝東路,23,42.5873015873016
忠孝東路,22,58.5168650793651
忠孝東路,21,70.015873015873
忠孝東路,20,71.5099206349206
忠孝東路,19,83.9970238095238
忠孝東路,18,89.9027777777778
忠孝東路,17,88.7559523809524
忠孝東路,16,80.7599206349206
忠孝東路,15,81.1071428571429
忠孝東路,14,80.8452380952381
忠孝東路,13,75.7460317460318
愛國東路,12,27.6428571428571
愛國東路,11,28.5
愛國東路,10,27.3571428571429
愛國東路,9,29.5
愛國東路,8,44.75
愛國東路,7,20.7142857142857
愛國東路,6,5.28571428571429
愛國東路,5,3
愛國東路,4,0.857142857142857
愛國東路,3,1.28571428571429
愛國東路,2,0.857142857142857
愛國東路,1,1.42857142857143
愛國東路,0,3
愛國東路,23,7
愛國東路,22,12.2857142857143
愛國東路,21,17.2857142857143
愛國東路,20,19.2857142857143
愛國東路,19,24.1428571428571
愛國東路,18,38.8571428571429
愛國東路,17,39.0714285714286
愛國東路,16,32.2142857142857
愛國東路,15,22.9285714285714
愛國東路,14,28.8571428571429
愛國東路,13,28.4285714285714
承德路,12,74.6904761904762
承德路,11,78.9809523809524
承德路,10,75.9678571428572
承德路,9,74.7428571428572
承德路,8,86.0694444444444
承德路,7,63.3904761904762
承德路,6,25.2261904761905
承德路,5,10.5095238095238
承德路,4,5.93809523809524
承德路,3,6.26190476190476
承德路,2,8.32857142857143
承德路,1,11.9285714285714
承德路,0,16.8142857142857
承德路,23,26.8952380952381
承德路,22,48.5142857142857
承德路,21,62.8857142857143
承德路,20,66.2880952380952
承德路,19,80.4619047619048
承德路,18,92.8761904761905
承德路,17,93.6214285714286
承德路,16,85.1380952380952
承德路,15,83.2452380952381
承德路,14,81.5285714285714
承德路,13,76.6190476190476
杭州南路,12,37.5
杭州南路,11,37.8333333333333
杭州南路,10,38.1666666666667
杭州南路,9,45.9047619047619
杭州南路,8,69.3611111111111
杭州南路,7,37.0476190476191
杭州南路,6,12.7142857142857
杭州南路,5,4.33333333333333
杭州南路,4,2.19047619047619
杭州南路,3,2.14285714285714
杭州南路,2,2.28571428571429
