,lon,lat,value,radius,color
3199,121.54411999999999,25.079444,2,1,#DDD23B
3237,121.561998,25.036172,2,1,#DDD23B
3262,121.50798999999999,25.029444,2,1,#DDD23B
3263,121.57179599999999,25.041058,2,1,#DDD23B
3267,121.48671100000001,25.061453,4,5,#DDD23B
3295,121.581896,25.044232,2,1,#DDD23B
3333,121.54737,25.096331,2,1,#DDD23B
3340,121.50076200000001,25.063274,2,1,#DDD23B
3343,121.533348,25.016839,2,1,#DDD23B
3369,121.518344,25.113723,2,1,#DDD23B
3373,121.57148000000001,25.044667,2,1,#DDD23B
3374,121.56819899999999,25.035825,2,1,#DDD23B
3384,121.60620800000001,25.054267000000003,2,1,#DDD23B
3397,121.52873100000001,25.017677,2,1,#DDD23B
3417,121.566363,25.061729,2,1,#DDD23B
3424,121.60412099999999,25.056665,2,1,#DDD23B
3433,121.51826799999999,25.041535,2,1,#DDD23B
3435,121.51870100000001,25.048261,2,1,#DDD23B
3436,121.523404,25.118717999999998,3,3,#DDD23B
3448,121.569575,25.056385000000002,2,1,#DDD23B
3483,121.490475,25.139141,2,1,#DDD23B
3489,121.57037,25.045602,2,1,#DDD23B
3507,121.5535,25.115145000000002,2,1,#DDD23B
3529,121.54806,25.033352999999998,2,1,#DDD23B
3539,121.516348,25.025639,2,1,#DDD23B
3577,121.589124,25.046629,2,1,#DDD23B
3615,121.504058,25.03961,2,1,#DDD23B
3627,121.55821200000001,25.028598000000002,2,1,#DDD23B
3641,121.53387,25.019106,2,1,#DDD23B
3642,121.576516,25.079647,2,1,#DDD23B
3645,121.48671100000001,25.061453,2,1,#DDD23B
3656,121.59624,24.986283,2,1,#DDD23B
3659,121.54850400000001,25.061607000000002,3,3,#DDD23B
3670,121.515045,25.032032,2,1,#DDD23B
3685,121.52596899999999,25.054144,2,1,#DDD23B
3686,121.516446,25.090922,3,3,#DDD23B
3710,121.533997,25.115851,3,3,#DDD23B
3724,121.569997,25.022028,3,3,#DDD23B
3725,121.582315,25.054941,2,1,#DDD23B
3735,121.52853200000001,25.023974,2,1,#DDD23B
3802,121.548323,25.027324,2,1,#DDD23B
3809,121.538398,25.029155,2,1,#DDD23B
3835,121.516112,25.045509,2,1,#DDD23B
3850,121.521378,25.084713,2,1,#DDD23B
3872,121.569156,25.08642,2,1,#DDD23B
3911,121.50383300000001,25.037986,3,3,#DDD23B
3912,121.521695,25.049846,2,1,#DDD23B
3962,121.51489099999999,25.115042000000003,3,3,#DDD23B
3994,121.53479899999999,25.052052,3,3,#DDD23B
4059,121.53344399999999,25.060370000000002,2,1,#DDD23B
4102,121.50546200000001,25.026017,2,1,#DDD23B
4165,121.59278400000001,25.06883,2,1,#DDD23B
4175,121.53751899999999,25.100786,2,1,#DDD23B
4188,121.50522600000001,25.027428,3,3,#DDD23B
4201,121.51695900000001,25.057256,2,1,#DDD23B
4240,121.61874499999999,25.054792000000003,3,3,#DDD23B
4256,121.513921,25.039824,3,3,#DDD23B
4267,121.515953,25.116169,2,1,#DDD23B
4281,121.54718000000001,25.042648,2,1,#DDD23B
4337,121.53292900000001,25.101275,3,3,#DDD23B
4354,121.52646599999999,25.028609,2,1,#DDD23B
4462,121.498073,25.035159,2,1,#DDD23B
4476,121.60528300000001,25.054298,2,1,#DDD23B
4511,121.502757,25.019345,2,1,#DDD23B
4547,121.56843400000001,24.991413,3,3,#DDD23B
4548,121.580405,25.06748,2,1,#DDD23B
4566,121.54798600000001,25.062107,2,1,#DDD23B
4611,121.615918,25.059792,3,3,#DDD23B
4642,121.500588,25.038423,2,1,#DDD23B
4643,121.54916599999999,25.028439000000002,3,3,#DDD23B
4691,121.52863700000002,25.011983999999998,3,3,#DDD23B
4711,121.569259,25.057216,5,15,#E98B2A
4721,121.539432,24.988488,3,3,#DDD23B
4738,121.586451,24.988013,2,1,#DDD23B
4742,121.54243899999999,25.062247,2,1,#DDD23B
4744,121.616782,25.03741,2,1,#DDD23B
4772,121.495823,25.039047,2,1,#DDD23B
4780,121.543699,25.033407,4,5,#DDD23B
4781,121.52508999999999,25.106303,2,1,#DDD23B
4787,121.54597700000001,25.029144,2,1,#DDD23B
4789,121.50265700000001,25.121392999999998,2,1,#DDD23B
4831,121.51053200000001,25.050289000000003,2,1,#DDD23B
4865,121.52333899999999,25.044718,2,1,#DDD23B
4874,121.55533999999999,25.002202,2,1,#DDD23B
4883,121.572753,25.077313,3,3,#DDD23B
4965,121.56906200000002,25.061007,3,3,#DDD23B
4970,121.518157,25.060213,3,3,#DDD23B
4990,121.46836499999999,25.12817,1,1,#DDD23B
5088,121.59305900000001,25.050148999999998,2,1,#DDD23B
5108,121.508016,25.050058,4,5,#DDD23B
5121,121.540679,24.997257,2,1,#DDD23B
5126,121.52140800000001,25.091104,2,1,#DDD23B
5132,121.52236,25.055035999999998,4,5,#DDD23B
5136,121.53803799999999,25.068323,2,1,#DDD23B
5140,121.52413899999999,25.022077,2,1,#DDD23B
5141,121.52973200000001,25.048374,2,1,#DDD23B
5142,121.515957,25.0629,3,3,#DDD23B
5143,121.561494,25.035944,2,1,#DDD23B
5147,121.56454599999999,25.028610999999998,2,1,#DDD23B
5163,121.55078,25.043509,2,1,#DDD23B
5166,121.511375,25.05937,2,1,#DDD23B
5173,121.54337199999999,25.024922,1,1,#DDD23B
5182,121.58863500000001,25.050498,1,1,#DDD23B
5185,121.52405900000001,25.097262,2,1,#DDD23B
5204,121.525281,25.055623999999998,3,3,#DDD23B
5210,121.543651,25.039846,2,1,#DDD23B
5213,121.49628100000001,25.030135,2,1,#DDD23B
5235,121.53433899999999,25.062576999999997,2,1,#DDD23B
5266,121.4906,25.029251000000002,2,1,#DDD23B
